dist_left,dist_center,dist_right,class_label
52.4,14.8,51.2,LOBITO
48.1,16.2,49.5,LOBITO
55.0,15.1,53.8,LOBITO
50.2,13.9,50.8,LOBITO
49.7,17.0,47.9,LOBITO
53.1,14.2,52.6,LOBITO
47.5,15.8,48.3,LOBITO
51.8,16.5,50.1,LOBITO
54.2,13.5,53.0,LOBITO
50.9,15.3,49.2,LOBITO
48.8,14.6,51.0,LOBITO
52.0,16.0,48.5,LOBITO
20.1,20.5,19.8,MURO
18.5,19.2,18.9,MURO
22.0,21.8,22.3,MURO
19.4,19.0,19.6,MURO
21.5,21.0,20.8,MURO
17.8,18.2,18.0,MURO
23.1,22.9,23.5,MURO
20.8,20.2,20.6,MURO
19.9,20.1,19.7,MURO
22.4,22.0,21.9,MURO
18.9,19.5,19.1,MURO
21.2,21.4,20.9,MURO
12.5,75.2,80.1,OBSTACULO
14.0,68.9,74.5,OBSTACULO
11.8,82.0,79.4,OBSTACULO
78.5,70.2,13.2,OBSTACULO
82.1,76.4,11.5,OBSTACULO
75.0,68.5,14.8,OBSTACULO
15.2,85.1,90.2,OBSTACULO
88.0,80.5,12.9,OBSTACULO
13.6,71.0,77.3,OBSTACULO
79.2,74.1,15.0,OBSTACULO
14.5,78.6,83.4,OBSTACULO
81.4,72.8,13.8,OBSTACULO
145.0,160.2,152.8,SALIDA
150.2,158.4,148.9,SALIDA
142.1,165.0,155.2,SALIDA
155.8,170.5,160.1,SALIDA
148.5,159.0,150.4,SALIDA
152.0,162.3,156.7,SALIDA
140.9,158.7,149.2,SALIDA
158.2,166.4,153.5,SALIDA
146.4,161.8,151.0,SALIDA
153.1,164.0,158.9,SALIDA
149.0,157.5,147.8,SALIDA
154.5,168.2,159.4,SALIDA
